Name,Team,playerid
Jarred Cosart,Padres,10304
Daniel Stumpf,Tigers,13780
Marcus Walden,Red Sox,8004
Drew Smith,Mets,17755
Austin Davis,Phillies,17117
Chris O'Grady,Marlins,13818
Yency Almonte,Rockies,15068
Sam Tuivailala,Cardinals,13485
Jesse Biddle,Braves,11437
John Axford,- - -,9059
Edward Paredes,Dodgers,4168
Josh Lindblom,Pirates,7882
Corbin Burnes,Brewers,19361
Glenn Sparkman,Royals,15200
Anthony Bass,Cubs,7982
Daniel Zamora,Mets,17811
Asher Wojciechowski,Reds,10836
Jeanmar Gomez,White Sox,9033
Tommy Milone,Nationals,7608
Ryan Dull,Athletics,13974
Kyle Crockett,Reds,15033
Chris Hatcher,- - -,3299
Ariel Jurado,Rangers,17030
Scott Barlow,Royals,14993
Bryan Mitchell,Yankees,11479
Yefry Ramirez,Orioles,15655
Dillon Peters,Marlins,18790
Chaz Roe,Rays,9866
Alec Asher,Orioles,13560
Caleb Frare,White Sox,14353
Jorge Lopez,- - -,14527
Chasen Shreve,Yankees,10855
Bobby Poyner,Red Sox,17987
Chasen Bradford,Mets,12452
Erick Fedde,Nationals,17425
Keynan Middleton,Angels,15264
Dan Jennings,Brewers,8073
Rex Brothers,Braves,9794
Sean Reid-Foley,Blue Jays,17034
Roberto Gomez,Giants,12963
Jim Johnson,Braves,3656
Thomas Pannone,Blue Jays,17281
Shawn Armstrong,Mariners,12857
Ben Heller,Yankees,15100
Aaron Wilkerson,Brewers,16904
Giovanny Gallegos,Yankees,14986
J.B. Wendelken,Athletics,14506
Kevin McCarthy,Royals,15240
Miguel Diaz,Padres,18815
Danny Barnes,Blue Jays,11388
Carson Smith,Red Sox,13172
Jeffrey Springs,Rangers,17677
Lucas Sims,Braves,13470
Jamie Callahan,Mets,14711
Nate Jones,White Sox,4696
Sandy Alcantara,Marlins,18684
D.J. Johnson,Rockies,12578
David Paulino,Astros,17418
Trevor Oaks,Royals,16468
Brad Wieck,Padres,16390
James Norwood,Cubs,16440
Julio Urias,Dodgers,14765
Mike Dunn,Rockies,9948
Jumbo Diaz,Rays,3397
Stephen Tarpley,Yankees,15859
Joaquin Benoit,- - -,1437
Drew Rucinski,Marlins,12499
Kyle McGrath,Padres,16793
Alan Busenitz,Twins,15239
Mike Morin,Mariners,13442
Casey Kelly,Giants,9174
Eric Skoglund,Royals,16155
Phil Hughes,Twins,7450
Daniel Coulombe,Athletics,13293
A.J. Schugel,Pirates,11432
Austin Bibens-Dirkx,Rangers,9559
Akeel Morris,Braves,12185
Evan Marshall,Indians,12297
Ricardo Rodriguez,Rangers,15458
Yovani Gallardo,- - -,8173
Dakota Hudson,Cardinals,19206
Bobby Wahl,Athletics,14832
Gabriel Moya,Twins,16348
C.D. Pelham,Rangers,19820
Matt Wisler,- - -,12804
Albert Suarez,Giants,6175
Donnie Hart,Orioles,15306
Vance Worley,Marlins,6435
Brandon Finnegan,Reds,16208
Framber Valdez,Astros,17295
Mark Leiter,Phillies,15551
Colten Brewer,Padres,12997
Noe Ramirez,- - -,12800
Matthew Festa,Mariners,19330
JT Chargois,Dodgers,13767
Daniel Hudson,Pirates,7146
Javy Guerra,Marlins,7407
Steven Okert,Giants,13580
Eduardo Paredes,Angels,16344
A.J. Cole,Nationals,11467
Hoby Milner,Phillies,13346
Chase De Jong,Twins,15036
Adrian Houser,Brewers,12718
Santiago Casilla,Athletics,2873
Ernesto Frieri,Rangers,5178
Ryan Weber,Mariners,10160
Ariel Miranda,Mariners,17526
Miguel Socolovich,Braves,6697
Bryse Wilson,Braves,19990
Kyle Kendrick,Red Sox,6230
Josh Smith,Athletics,10946
Robbie Ross Jr.,Red Sox,6819
Carlos Ramirez,Blue Jays,11743
Rowan Wick,Padres,14646
Dillon Maples,Cubs,14672
Nick Martinez,Rangers,12730
Louis Coleman,Tigers,9720
John Curtiss,Twins,16128
Nick Gardewine,Rangers,16513
Pat Venditte,Dodgers,7108
Kevin Shackelford,Reds,11012
Dario Alvarez,Rangers,14239
Chih-Wei Hu,Rays,16419
Jack Leathersich,- - -,12562
Zac Rosscup,- - -,9419
Cory Mazzoni,Cubs,12537
Huston Street,Angels,8258
Ryan Sherriff,Cardinals,12249
Adam Liberatore,Dodgers,10637
Kris Medlen,Diamondbacks,9417
Andrew Bailey,Angels,1368
Ubaldo Jimenez,Orioles,3374
Kevin Siegrist,- - -,8180
Tyler Beede,Giants,16981
Bryan Morris,Giants,10234
Dennis Santana,Dodgers,17878
Tyler Danish,White Sox,15126
Enyel De Los Santos,Phillies,18403
Mike Hauschild,Blue Jays,14033
Preston Claiborne,Rangers,10500
Scott Copeland,Mets,10706
Rhiner Cruz,Blue Jays,711
Tanner Scheppers,Rangers,10267
Andrew Vasquez,Twins,19482
Dayan Diaz,Astros,11543
Chad Sobotka,Braves,17470
Victor Alcantara,Tigers,15028
Adam McCreery,Braves,19550
Tyler Cloyd,Mariners,8536
Yoan Lopez,Diamondbacks,17181
Brandon Workman,Red Sox,11428
Reymin Guduan,Astros,13058
Brandon Dixon,Reds,15214
Andrew Kittredge,Rays,12828
Chad Bell,Tigers,10297
Mike Wright,Orioles,12586
Alex Blandino,Reds,16271
J.D. Davis,Astros,16219
Braden Shipley,Diamondbacks,15158
Fabio Castillo,Dodgers,2826
Brooks Pounders,Rockies,10387
Pierce Johnson,Cubs,13435
Ian Krol,Angels,10066
Yohander Mendez,Rangers,14391
Alex Reyes,Cardinals,15015
Matt Davidson,White Sox,7226
Pedro Beato,Phillies,1330
Andrew Moore,Mariners,17553
Erik Kratz,Brewers,4403
Jorge De La Rosa,- - -,2047
T.J. House,Blue Jays,9121
Ashur Tolliver,Astros,10044
Jesus Sucre,Rays,5942
Brett Nicholas,Rangers,11192
Ryan Rua,Rangers,12409
Mitch Moreland,Red Sox,3086
Jon Jay,Cubs,5227
Thyago Vieira,Mariners,14510
Dan Slania,Giants,15639
Ray Black,Giants,14244
Brian Flynn,Royals,12027
A.J. Griffin,Rangers,11132
Daniel Descalso,Diamondbacks,8392
Sammy Solis,Nationals,11457
Danny Valencia,Orioles,6364
Osmer Morales,Angels,17133
Alex Avila,Diamondbacks,7476
John Means,Orioles,16269
Aaron Slegers,Twins,15231
Josh Rogers,Orioles,18510
Derek Law,Giants,13133
Rob Whalen,Mariners,14165
Scott Kingery,Phillies,17975
Michael Martinez,Indians,7358
Mitch Garver,Twins,15161
Mike Freeman,Mariners,11241
Luis Sardinas,Padres,13153
Brandon Guyer,Indians,2636
Casey Sadler,Pirates,11209
Daniel Robertson,Rays,14145
Ian Happ,Cubs,17919
Greg Garcia,Cardinals,10951
Charlie Culberson,Braves,3298
Carlos Tocci,Rangers,14558
Pablo Sandoval,Giants,5409
Chase d'Arnaud,Giants,6652
Phillip Ervin,Reds,14738
Mark Reynolds,Nationals,7619
